,city,temp_max,clouds,lat,wind_speed,humidity
501,Kuala Terengganu,299.15,75,5.33,1.5,88
502,Shimoda,282.15,75,34.7,5.1,45
503,Nuevo Imperial,292.598,44,-13.08,0.71,96
504,Shache,262.223,20,38.42,1.21,70
505,Surgut,229.15,0,61.25,2.0,63
506,Ormara,292.698,0,25.21,5.01,89
507,Sabha,278.648,0,27.03,1.31,62
508,Anadyr,265.15,75,64.73,15.0,85
509,Syamzha,266.498,68,60.02,2.56,87
510,Caruray,302.15,40,10.31,7.7,70
511,Avera,280.95,1,33.19,2.11,61
512,Miyako,280.15,75,33.63,6.7,52
513,Turukhansk,228.948,24,65.8,1.41,0
514,Saldanha,279.323,92,41.42,7.46,97
515,Smithers,272.15,90,54.78,1.5,100
516,Nhulunbuy,301.15,75,-12.18,8.2,83
517,Bahia Honda,294.348,24,22.9,3.06,87
518,Warsaw,272.15,75,52.23,2.6,92
519,Miguel Hidalgo,291.15,20,19.41,5.1,31
520,Aita Mare,272.248,88,45.97,1.16,98
521,Mayor Pablo Lagerenza,301.348,0,-19.93,5.36,57
522,Oistins,298.15,20,13.07,5.7,69
523,Bilibino,240.698,0,68.06,1.16,39
524,Kalmunai,297.498,24,7.42,3.41,94
525,Tagbac,301.15,40,7.09,5.7,74
526,Aketi,294.623,64,2.74,1.21,95
527,Jardim,299.073,12,-21.48,1.21,76
528,Birjand,272.15,0,32.86,2.1,86
529,Key West,254.15,90,47.93,8.2,74
530,Santa Cruz de Tenerife,290.15,12,28.47,6.2,81
531,Sinnamary,299.548,92,5.38,6.01,96
532,Hami,260.048,80,42.84,1.61,75
533,Mahibadhoo,300.548,0,3.78,6.66,100
534,Forio,286.15,75,40.73,5.1,93
535,Shasta Lake,289.25,1,40.68,2.1,66
536,Kushiro,267.15,40,43.11,6.2,48
537,Mehamn,265.548,0,71.03,4.91,94
538,Ponta Delgada,286.15,20,37.73,1.5,76
539,Skjervoy,264.898,0,70.03,5.56,100
540,Kualakapuas,303.123,12,-3.01,1.61,80
541,Sanmenxia,273.573,0,34.77,1.26,83
542,Elizabeth City,270.95,1,36.3,1.41,76
543,Goderich,257.198,20,43.74,5.91,100
544,Abatskoye,247.073,68,56.29,2.41,68
545,Xuddur,291.398,0,4.12,5.21,64
546,Belyy,272.398,92,55.83,3.11,99
547,Taitung,292.15,90,22.76,4.6,72
548,Tashigang,263.748,36,29.3,0.51,44
549,Arinos,294.548,44,-15.92,1.21,66
550,Kulhudhuffushi,300.748,36,6.62,6.11,100
